% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770389326.2423 0.021 -0.002 -0.1785 3.0466
1770389326.2478 0.021 -0.002 -0.1785 3.0466
1770389326.2520 0.021 -0.002 -0.1785 3.0466
1770389326.2574 0.021 -0.002 -0.1785 3.0466
1770389326.2629 0.021 -0.002 -0.1785 3.0466
1770389326.2673 0.021 -0.002 -0.1785 3.0466
1770389326.2728 0.021 -0.002 -0.1785 3.0466
1770389326.2771 0.021 -0.002 -0.1785 3.0465
1770389326.2826 0.021 -0.002 -0.1785 3.0465
1770389326.2880 0.021 -0.002 -0.1785 3.0465
1770389326.2924 0.021 -0.002 -0.1785 3.0465
1770389326.2978 0.021 -0.002 -0.1785 3.0465
1770389326.3022 0.021 -0.002 -0.1785 3.0465
1770389326.3077 0.021 -0.002 -0.1785 3.0465
1770389326.3131 0.021 -0.002 -0.1785 3.0465
1770389326.3175 0.021 -0.002 -0.1785 3.0465
1770389326.3230 0.021 -0.002 -0.1785 3.0465
1770389326.3273 0.021 -0.002 -0.1785 3.0464
1770389326.3328 0.021 -0.002 -0.1785 3.0464
1770389326.3372 0.021 -0.002 -0.1785 3.0464
1770389326.3426 0.021 -0.002 -0.1785 3.0464
1770389326.3471 0.021 -0.002 -0.1785 3.0464
1770389326.3525 0.021 -0.002 -0.1785 3.0464
1770389326.3580 0.021 -0.002 -0.1785 3.0464
1770389326.3624 0.021 -0.002 -0.1785 3.0464
1770389326.3681 0.021 -0.002 -0.1785 3.0464
1770389326.3725 0.021 -0.002 -0.1785 3.0464
1770389326.3780 0.021 -0.002 -0.1785 3.0463
1770389326.3824 0.021 -0.002 -0.1785 3.0463
1770389326.3879 0.021 -0.002 -0.1785 3.0463
1770389326.3923 0.021 -0.002 -0.1785 3.0463
1770389326.3978 0.021 -0.002 -0.1785 3.0463
1770389326.4022 0.021 -0.002 -0.1785 3.0463
1770389326.4077 0.021 -0.002 -0.1785 3.0463
1770389326.4122 0.021 -0.002 -0.1785 3.0463
